Date, Time, (Location), State, ZIP, "Text", Sentiment 
2011-08-28, 19:02:40, (47.44364658, -122.30259418), WA, 98148, "i'm at seattle-tacoma international airport (sea) (17801 international blvd., s 188th st, seatac) w/ 98 others http://t.co/mdxjdyi", -0.5
2011-08-28, 19:02:40, (38.847144, -76.9884507), DC, 20032, "@luscious_lips19 lmao", None
2011-08-28, 19:02:40, (31.72274, -89.14879), MS, 39440, "great meal or i was jus hungry", -0.25
2011-08-28, 19:02:40, (19.47690987, -71.34471434), PR, 006XX, "@ninosh_flow mas o menooo", None
2011-08-28, 19:02:40, (35.16785836, -94.67223179), OK, 74951, "@lori_poindexter happy trails to you!", 0.375
2011-08-28, 19:02:41, (35.0367007, -79.0579936), NC, 28314, "thanks for the free pizza ill eat it whn i wake bak up..i dont feel well", -0.15625
2011-08-28, 19:02:41, (34.74037824, -92.37275652), AR, 72204, "@42courtney #soowoooo i heard somebody!", -0.25
2011-08-28, 19:02:41, (39.0845006, -76.8173348), MD, 20724, "just talked to my male bestfriend.its always good talking to him!", 0.75
2011-08-28, 19:02:41, (40.66635829, -73.85900223), NY, 11208, "@nikkirose haha yea good times !", 0.541666666667
2011-08-28, 19:02:42, (44.73223528, -93.22228908), MN, 55124, "bailey's fav. (@ panda express) http://t.co/jspk93z", -0.5
2011-08-28, 19:02:42, (39.7415336, -75.5631174), DE, 19801, "i needa roll up w/ my twin.", -0.25
2011-08-28, 19:02:43, (41.5791772, -87.6095613), IL, 60476, "@oopstookyobtch lol u can come", None
2011-08-28, 19:02:43, (40.79244567, -74.06544711), NJ, 07094, "there safe now ! http://t.co/ztjen6c", 0.625
2011-08-28, 19:02:43, (34.77707147, -86.57509803), AL, 35810, "i gotta stay to myself...", -0.25
2011-08-28, 19:02:44, (35.80060604, -120.74882763), CA, 93451, "offload", None
2011-08-28, 19:02:44, (40.7066149, -73.7905397), NY, 11432, "@holasoycarito me too i love it saludos desde n.y guapa", 0.1875
2011-08-28, 19:02:45, (39.91804029, -76.70432763), PA, 17403, "so much easier to dress for blue skies:-)", 0.25
2011-08-28, 19:02:45, (35.99137525, -84.0103273), TN, 37912, "my lil girl tweet stealn", None
2011-08-28, 19:02:45, (42.380418, -83.1158237), MI, 48206, "#blowed", None
2011-08-28, 19:02:45, (41.4987, -75.69686), PA, 18411, "daniel 3:8-30 @timtebow @bubbawatson", None
2011-08-28, 19:02:46, (36.29069235, -76.21815312), NC, 27909, "@quisha_genay24 huh", None
2011-08-28, 19:02:46, (36.7353598, -110.2419182), AZ, 86033, "r.i.p. dj a.m.", None
2011-08-28, 19:02:47, (29.98559028, -90.25736713), LA, 70062, "i had braids", -0.25
2011-08-28, 19:02:47, (20.72216006, -103.31901312), TX, 78545, "i just ousted @carlosserna as the mayor of sam's club independencia on @foursquare! http://t.co/wr5vdjl", 0.1875
2011-08-28, 19:02:47, (20.72216006, -103.31901312), TX, 78545, "compras y mas compras... (@ sam's club independencia) http://t.co/vhkpjfv", None
2011-08-28, 19:02:47, (19.623173, -99.237724), TX, 78520, "camino a... pensando si talvez... (@ bosques del lago) http://t.co/gzkdwyw", None
2011-08-28, 19:02:47, (38.16182601, -122.45756149), CA, 94945, "great day for racing (@ infineon raceway for indy grand prix of sonoma w/ 36 others) [pic]: http://t.co/l9odh7y", 0.25
2011-08-28, 19:02:47, (36.0798278, -79.7652265), NC, 27401, "@guybeburpin i feel yu i got a couple things to do", -0.25
2011-08-28, 19:02:47, (50.480587, 30.6348636), AK, 99723, "@marmeladovna Нормальная шняга в 10 ложиться спать, если надо проснуться в 3.", None
2011-08-28, 19:02:47, (40.32655136, -74.40619042), NJ, 08831, "@liliestefan esto es en old bridge nj http://t.co/vt7yuwt", 0.375
2011-08-28, 19:02:48, (29.66423049, -95.27795377), TX, 77061, "@_sharnaee lol hahahaha i'm bored", None
2011-08-28, 19:02:48, (40.818948, -73.9608568), NY, 10027, "bike ride after #irene @ west harlem piers park http://t.co/lryjrgd", None
2011-08-28, 19:02:48, (29.9477474, -90.1300803), LA, 70118, "oak st. has come a long way in the 10 years since living at oak & cambronne. (@ tru burger w/ 2 others) http://t.co/450n0vj", None
2011-08-28, 19:02:48, (29.5863585, -98.6229114), TX, 78249, "@jumpmann_23 leaving the field", None
2011-08-28, 19:02:48, (47.68904205, -122.141196), WA, 98052, "i'm at overlake christian church (9900 willows rd ne, redmond) w/ 5 others http://t.co/0novheq", None
2011-08-28, 19:02:48, (32.94387581, -96.64631546), TX, 75044, "lunch with @krystalomgz and @micheleeebarker (@ sali's pizza) http://t.co/9cj1ue3", None
2011-08-28, 19:02:48, (35.1308588, -89.7702757), TN, 38018, "@darryltheworld it feels great outside", None
